left: Array<T>::toString():
213.043472 210.869568 0.009726 
173.913040 222.826080 0.014001 
171.195648 226.086960 0.009195 
228.260864 180.434784 0.008813 
225.000000 213.043472 0.009209 
221.739136 214.673904 0.007251 
221.739136 215.217392 0.004493 
223.913040 214.130432 0.008578 
220.108688 223.913040 0.010218 
222.826080 221.739136 0.005901 
222.282608 215.217392 0.002569 
224.456512 197.282608 0.009105 
219.565216 225.543472 0.011397 
211.956512 238.043472 0.007770 
214.130432 244.021744 0.005196 
220.652176 170.652176 0.011227 
236.956512 190.217392 0.009594 
217.391296 236.956512 0.006962 
208.152176 242.934784 0.005800 


left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
136.413040 193.478256 0.390994 
152.717392 183.152176 0.513039 
170.108688 172.282608 0.788575 
173.369568 154.347824 0.763625 
176.086960 138.586960 0.388195 
139.673920 159.239136 0.535189 
149.456528 138.043472 0.635528 
163.043472 134.239136 0.784754 
174.456528 136.956528 0.934385 
130.978256 157.608688 0.518376 
136.956528 134.239136 0.405604 
154.347824 132.065216 0.422375 
166.304352 136.956528 0.203361 
127.173912 160.326080 0.504349 
132.065216 138.043472 0.554265 
141.304352 127.717392 0.429940 
154.347824 132.065216 0.374346 
123.913040 165.760864 0.305361 
127.173912 151.086960 0.599139 
132.065216 141.847824 0.612278 
139.673920 140.217392 0.489344 


left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 223.369568 0.076418 
198.369568 220.108688 0.029520 
176.086960 215.760864 0.026634 
174.456528 215.217392 0.030334 
167.934784 223.369568 0.008605 
226.630432 179.891296 0.009628 
227.717392 211.956512 0.008561 
224.456512 214.673904 0.007129 
223.369568 215.217392 0.004801 
228.804352 189.673904 0.008453 
220.652176 224.456512 0.009396 
223.913040 221.195648 0.005645 
166.847824 239.130432 0.002680 
227.717392 191.304352 0.009034 
219.565216 225.543472 0.011011 
209.782608 239.130432 0.007323 
210.326080 245.108688 0.005028 
220.652176 171.739136 0.012439 
238.043472 190.217392 0.010108 
206.521744 242.934784 0.006909 
205.978256 244.021744 0.005849 


left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 222.826080 0.060428 
219.021744 215.760864 0.024950 
176.086960 226.086960 0.011129 
173.369568 219.565216 0.020397 
170.108688 223.913040 0.011303 
225.000000 181.521744 0.009368 
227.717392 212.500000 0.008875 
225.000000 213.586960 0.006985 
223.369568 215.217392 0.004206 
227.173904 191.304352 0.008904 
220.108688 224.456512 0.009969 
223.913040 221.195648 0.005911 
223.913040 215.760864 0.002518 
225.543472 193.478256 0.009811 
219.565216 225.000000 0.011285 
209.782608 238.043472 0.007489 
209.239136 244.565216 0.004935 
220.108688 172.282608 0.012575 
238.043472 189.130432 0.009804 
234.239120 213.043472 0.007047 
203.260864 244.021744 0.005803 


left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
126.630432 163.043472 0.146554 
195.652176 219.565216 0.027431 
183.152176 207.065216 0.022122 
171.195648 222.282608 0.018989 
163.043472 222.826080 0.010473 
221.195648 210.869568 0.008416 
234.782608 193.478256 0.008229 
237.500000 193.478256 0.006733 
223.369568 216.304352 0.004077 
223.369568 216.304352 0.008467 
218.478256 226.086960 0.007796 
204.891296 238.043472 0.005376 
182.608688 246.195648 0.002361 
229.347824 190.760864 0.008160 
216.304352 228.260864 0.010020 
200.543472 241.847824 0.008137 
194.021744 245.108688 0.005829 
232.608688 184.782608 0.010867 
201.630432 236.956512 0.011187 
203.260864 241.304352 0.008167 
201.630432 243.478256 0.006725 


left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 222.282608 0.059586 
161.956528 110.869568 0.160662 
145.108688 127.717392 0.491244 
122.282608 139.673920 0.639659 
100.000000 145.108688 0.546191 
153.804352 119.021736 0.038523 
227.717392 208.152176 0.009199 
223.913040 213.043472 0.007337 
101.086960 146.195648 0.006680 
150.543472 119.021736 0.010929 
220.108688 224.456512 0.010077 
141.304352 109.782608 0.006979 
138.586960 110.326088 0.007328 
224.456512 199.456512 0.010517 
219.021744 226.086960 0.011436 
211.413040 239.673904 0.007862 
214.130432 245.108688 0.005554 
219.565216 172.282608 0.014322 
236.956512 190.217392 0.009683 
211.956512 243.478256 0.007043 
209.239136 244.565216 0.006058 


left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 223.369568 0.070393 
219.565216 216.847824 0.026936 
179.891296 230.978256 0.016336 
173.913040 216.847824 0.025106 
171.195648 223.369568 0.010151 
226.630432 179.347824 0.010200 
227.717392 211.413040 0.008894 
224.456512 214.130432 0.007191 
223.369568 215.217392 0.004774 
228.804352 190.217392 0.008795 
219.565216 225.543472 0.009812 
223.913040 221.739136 0.005805 
